orden,fecha,matcode,cantidad,grado_llenado,target,reactor,acido_ascorbico,agua_desionizada,amoniaco_25,aq_save,arianor_cherry_red_vibracolor_ruby_red,astrophos_hc2,azul_ultramar_b_6554,chematek_code_00302_jacorol_ahp,cire_de_lanol_sinnowax_ao,colorante_2a3hp,genencare_osms_ba_betafin_bp,h.c._yellow_2,h.c._yellow_4,jarocol_mbb,lowacryl_orange_31,merquat_280_safiquat_22,monoetanolamina_99__purete,nafol_16_18_lanette_o,perfume_bamboo_lotus_flower_2048692,perfume_xanadu,propilenglicol,rodol_24dape_chematek_00326,rodol_2_mr_chematek_code_00102,rodol_6amc_chematek_00269,rodol_6cp_chematek_00235,rodol_9r,rodol_blfx_bondecolor_blfx,rodol_eg_jarocol_map,rodol_ern_colorex_1_nap,rodol_gray_hed__jarocol_bhp,rodol_p_base_ot,rodol_paoc_chematek_00216,rodol_paox_colorex_paox,rodol_pmp_jarocol_pmp,rodol_rs_jarocol_rl,rodol_xdat,sodio_sulfito_anhidro,structure_zea_starch,transcutol_cg,utmf_ceramide_iii_silicon_free
1032335,2021-12-22 09:09:00.243,626125,452.4,45.24,1,mediano,4.0,567.496,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,2.46,0.0,0.0,0.0,5.37,0.902,0.0,7.04,0.0,0.15,0.0,0.0,4.22,0,7.5,30,30,0.0
1032337,2021-12-10 08:44:00.280,626405,232.0,46.4,0,pequeño,4.0,594.138,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.0,6.2,3.6,1.7,1.0,0.0,0,10.0,30,15,0.0
1032338,2021-12-10 11:40:00.533,628345,232.0,46.4,0,pequeño,4.0,620.638,71.862,1,0.0,30,0.0,0.0,140,1,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,6.0,0.0,0.0,0.5,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0,5.0,30,15,0.0
1032383,2022-01-10 15:48:00.373,625645,232.0,46.4,1,pequeño,4.0,564.438,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,2.0,1.7,0.0,2.0,2.0,0,10.0,30,30,0.0
1032385,2022-01-10 13:03:00.270,627645,232.0,46.4,0,pequeño,4.0,625.758,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.88,0,5.0,30,15,0.0
1032386,2022-01-11 13:31:00.873,624505,232.0,46.4,1,pequeño,4.0,578.835,64.965,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,7.0,4.2,2.0,0.0,0.0,0,10.0,30,15,0.0
1032387,2022-01-10 19:19:00.197,627435,232.0,46.4,0,pequeño,4.0,613.638,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.5,0.0,0.0,10.0,0,6.0,30,15,0.0
1032388,2022-01-11 15:37:00.650,627665,452.4,45.24,0,mediano,4.0,495.138,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,12.5,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,30,50,0.0
1032389,2022-01-12 09:15:00.537,626665,452.4,45.24,0,mediano,4.0,488.638,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,10.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0,10.0,30,50,0.0
1032390,2022-01-12 13:29:00.113,621705,678.6,67.86,1,mediano,4.0,501.625,64.965,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,16.41,0.0,25,0,20,8,0.0,0,6.0,0.0,0.0,0.0,0.0,17.5,0.0,3.0,14.5,0.0,0.0,0.0,2.5,0.5,0,10.0,30,50,0.0
1032392,2022-01-13 12:07:00.137,628135,904.8,90.48,0,mediano,4.0,617.438,71.862,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.22,1.4,0.54,0.0,0.0,0.0,3.4,0,5.5,30,15,0.0
1032513,2022-01-14 15:11:00.443,625065,452.4,45.24,1,mediano,4.0,483.938,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.7,12.5,0.0,0.0,0.0,18.5,4.0,0.0,0.0,4.5,1.0,0.0,0.0,0.0,0,10.0,30,50,0.0
1032514,2022-01-17 12:09:00.343,629805,678.6,67.86,0,mediano,1.0,653.712,78.758,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0,0.0,30,15,0.0
1032515,2022-01-20 09:27:00.817,626005,1357.2,45.24,1,grande,4.0,570.938,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.4,10.0,0.0,0.0,0.0,15.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,10.0,30,15,0.0
1032516,2022-01-17 13:48:00.560,627005,1809.6,60.32,1,grande,4.0,592.238,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.2,6.0,0.0,0.0,0.0,9.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,10.0,30,15,0.0
1032517,2022-01-18 15:12:00.643,627085,1131.0,37.7,1,grande,4.0,536.588,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.3,8.0,0.0,0.0,0.0,12.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0,10.0,30,15,0.0
1032518,2022-01-17 16:54:00.217,628085,904.8,90.48,0,mediano,4.0,579.478,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,30,0.25,4.7,0.0,0.0,0.0,5.6,0.31,0.0,0.0,1.8,0.0,0.0,1.0,0.0,0,7.0,30,15,0.0
1032519,2022-01-13 16:34:00.837,627065,452.4,45.24,0,mediano,4.0,583.388,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.3,5.9,0.0,0.0,0.0,7.0,1.35,0.0,0.0,2.2,0.0,0.0,1.0,0.0,0,9.0,30,15,0.0
1032520,2022-01-13 13:37:00.670,627455,232.0,46.4,1,pequeño,4.0,596.968,71.862,1,0.0,30,0.0,6.9,140,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,7.8,10.0,0.0,0.0,0.0,0,7.5,30,15,0.0
1032521,2022-01-13 19:37:00.380,626065,678.6,67.86,0,mediano,4.0,555.238,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.4,8.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0,10.0,30,15,0.0
1032522,2022-01-18 17:42:00.590,623005,904.8,90.48,1,mediano,4.0,486.635,64.965,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.6,0.0,0.0,0.0,0.0,26.0,0.5,0.0,10.0,1.1,0.0,0.0,0.0,7.2,0,10.0,30,50,0.0
1032526,2022-01-20 14:49:00.367,620505,232.0,46.4,0,pequeño,0.0,682.338,71.862,1,1.8,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,0,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,0,0.0
1032722,2022-01-20 09:47:00.087,629065,232.0,46.4,0,pequeño,1.5,615.642,82.758,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,2.1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,30,15,0.0
1032723,2022-01-21 09:15:00.697,620105,2000.0,66.67,1,grande,4.0,570.638,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,7.0,30,15,0.0
1032730,2022-02-01 14:55:00.383,628835,232.0,46.4,0,pequeño,3.0,530.302,100.448,1,0.0,0,0.0,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,1.3,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0,0.0,30,15,5.0
1032732,2022-01-24 18:05:00.627,626175,1430.0,47.67,0,grande,4.0,565.098,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.24,0.0,9.0,1.35,0.0,0.0,0.0,9.45,0,10.0,30,15,0.0
1032733,2022-01-26 13:22:00.240,627305,232.0,46.4,0,pequeño,4.0,605.838,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0,7.0,30,30,0.0
1032734,2022-01-27 15:39:00.577,626615,678.6,67.86,0,mediano,4.0,495.538,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,10.0,0.0,0.0,0.0,17.0,1.4,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0,7.5,30,50,0.0
1032735,2022-01-27 08:28:00.590,627365,232.0,46.4,0,pequeño,4.0,605.938,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,2.1,0.0,0.0,0.0,6.5,0.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,0,5.0,30,30,0.0
1032736,2022-01-27 11:20:00.793,627615,678.6,67.86,0,mediano,4.0,505.238,71.362,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,7.3,0.0,0.0,0.0,12.0,1.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0,7.5,30,50,0.0
1032737,2022-01-31 15:33:00.417,629925,678.6,67.86,0,mediano,1.5,535.082,100.448,1,0.0,0,0.35,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.21,0.0,0.21,0.0,0.0,0.1,0,2.5,30,15,1.0
1032787,2022-01-26 08:58:00.883,629875,1357.2,45.24,0,grande,2.0,601.777,78.758,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.89,0.0,0.075,0.0,0.0,4.3,0,1.0,30,30,0.0
1032789,2022-01-31 13:04:00.603,628815,1357.2,45.24,0,grande,3.0,528.232,100.448,1,0.0,0,0.6,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.48,0.2,0.0,1.6,0.24,0.0,0.0,0.0,1.7,0,4.0,30,15,1.0
1032790,2022-02-02 08:35:00.597,629935,348.0,69.6,0,pequeño,10.0,549.052,100.448,1,0.0,0,0.0,0.0,140,0,40,0.0,0.1,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.26,0.32,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0,0.0,30,15,1.0
1032791,2022-02-01 10:06:00.633,628825,904.8,90.48,0,mediano,2.0,533.572,100.448,1,0.0,0,0.6,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.29,0.0,0.4,0.0,0.0,0.0,0,3.0,30,15,1.0
1032792,2022-02-01 10:08:00.660,629905,452.4,90.48,0,pequeño,1.0,540.052,100.448,0,0.0,0,0.0,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,15,1.0
1032793,2022-01-31 09:35:00.507,629915,678.6,67.86,0,mediano,3.0,528.232,100.448,1,0.0,0,0.6,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.48,0.2,0.0,1.6,0.24,0.0,0.0,0.0,1.7,0,4.0,30,15,1.0
1032794,2022-02-03 09:03:00.277,620075,1357.2,45.24,0,grande,4.0,626.018,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,3.6,0.0,0.0,0.0,0.0,5.28,0,5.0,30,15,0.0
1032795,2022-02-03 13:42:00.403,620705,1357.2,45.24,1,grande,4.0,530.138,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,10.0,20,15,0.0
1032796,2022-02-03 09:15:00.463,629995,452.4,90.48,0,pequeño,1.0,673.138,71.862,1,0.0,30,0.0,0.0,130,0,0,0.0,0.0,0.0,0.0,25,0,10,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20,15,0.0
1032799,2022-02-04 09:20:00.420,625135,232.0,46.4,0,pequeño,4.0,598.322,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.096,0.0,0.0,0.0,0.0,7.0,0.2,0.12,0.7,0.5,0.0,0.0,0.0,8.2,0,5.0,30,15,0.0
1032800,2022-02-04 09:26:00.467,626135,452.4,45.24,0,mediano,4.0,601.078,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.12,0.28,2.4,0.36,0.0,0.0,0.0,4.4,0,7.5,30,15,0.0
1032801,2022-02-07 17:05:00.840,626595,232.0,23.2,0,mediano,4.0,552.638,71.862,1,0.0,30,0.0,12.5,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0,9.0,30,15,0.0
1032802,2022-02-03 10:24:00.373,627135,678.6,67.86,0,mediano,4.0,626.458,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,2.4,0.08,0.24,2.2,0.36,0.0,0.0,0.0,3.4,0,5.0,30,15,0.0
1032803,2022-02-07 14:18:00.680,627505,232.0,46.4,1,pequeño,4.0,576.638,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,2.0,0.5,0.0,0,10.0,20,15,0.0
1032822,2022-02-07 10:57:00.110,628405,232.0,46.4,0,pequeño,4.0,623.368,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,1.1,0.0,0.0,0.0,1.1,0.5,0.0,0.0,4.8,2.1,0.0,0.0,1.17,0,6.0,30,15,0.0
1032823,2022-02-07 12:16:00.150,628445,452.4,45.24,0,mediano,4.0,605.358,71.862,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,25,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.68,0.7,0.0,0.0,8.2,4.2,0.0,0.0,0.0,0,6.0,30,15,0.0
1032824,2022-02-04 13:22:00.473,629845,232.0,46.4,0,pequeño,2.0,649.492,78.758,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.38,1.58,0.79,0.0,0.0,0,0.0,30,15,0.0
1032932,2022-02-08 13:55:00.593,625555,232.0,46.4,1,pequeño,2.5,532.338,71.862,1,0.0,30,0.0,7.0,160,0,0,0.0,0.0,0.0,0.0,25,0,40,8,0.0,30,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,3.0,4.3,1.0,0.5,0.0,0,7.5,30,15,0.0
1032933,2022-02-08 07:56:00.600,626555,232.0,46.4,1,pequeño,4.0,557.438,71.862,1,0.0,30,0.0,15.0,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,5.6,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.5,30,15,0.0
1033059,2022-02-16 09:56:00.883,628175,2726.0,90.87,1,grande,4.0,613.258,71.862,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,1.95,0.58,0.0,4.25,0.64,0.0,0.0,0.0,4.46,0,5.0,30,15,0.0
1033060,2022-02-15 16:54:00.877,629875,904.8,90.48,0,mediano,2.0,601.777,78.758,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.89,0.0,0.075,0.0,0.0,4.3,0,1.0,30,30,0.0
1033063,2022-02-17 10:11:00.427,627175,2726.0,90.87,0,grande,4.0,618.723,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,2.225,0.69,0.0,5.0,0.75,0.0,0.0,0.0,5.25,0,7.5,30,15,0.0
1033065,2022-02-21 08:12:01.037,626175,2726.0,90.87,0,grande,4.0,565.098,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.24,0.0,9.0,1.35,0.0,0.0,0.0,9.45,0,10.0,30,15,0.0
1033066,2022-02-18 07:19:00.730,627175,2726.0,90.87,0,grande,4.0,618.723,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,2.225,0.69,0.0,5.0,0.75,0.0,0.0,0.0,5.25,0,7.5,30,15,0.0
1033068,2022-02-21 10:13:00.777,629825,678.6,67.86,0,mediano,3.0,650.292,78.758,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,0,8,0.0,0,0.0,1.5,0.0,0.0,0.0,1.6,0.2,0.5,0.0,0.15,0.0,0.0,0.0,0.0,0,0.0,30,15,0.0
1033070,2022-02-22 09:35:00.873,624605,452.4,90.48,0,pequeño,4.0,539.035,64.965,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.5,2.5,0.0,0.0,0.0,2.5,5.0,0,7.5,30,15,0.0
1033071,2022-02-23 13:58:00.993,626655,452.4,45.24,0,mediano,4.0,539.638,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,8.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,4.0,1.0,0.0,2.5,0.0,0,10.0,30,15,0.0
1033072,2022-02-22 09:02:00.423,627605,678.6,67.86,0,mediano,4.0,597.238,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,3.85,0.0,0.0,0.2,7.0,1.35,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,7.5,30,15,0.0
1033073,2022-02-23 11:20:00.623,629085,904.8,90.48,0,mediano,2.5,600.292,78.758,1,0.0,30,0.0,0.0,120,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,30,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,1.43,0.92,0.0,0.0,0.0,2.7,0,4.0,30,15,0.0
1033074,2022-02-22 13:25:00.980,626605,678.6,67.86,1,mediano,4.0,567.698,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,5.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,4.44,0,7.5,20,15,0.0
1033076,2022-02-23 13:42:00.713,628005,1583.4,52.78,0,grande,4.0,621.038,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.1,4.7,0.0,0.0,0.0,4.8,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0,7.0,30,15,0.0
1033077,2022-02-24 09:12:00.817,628085,1357.2,45.24,0,grande,4.0,579.478,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,30,0.25,4.7,0.0,0.0,0.0,5.6,0.31,0.0,0.0,1.8,0.0,0.0,1.0,0.0,0,7.0,30,15,0.0
1033142,2022-02-23 08:46:00.633,627655,452.4,90.48,0,pequeño,4.0,579.338,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,5.6,0.0,0.0,0.0,5.0,4.2,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0,10.0,30,15,0.0
1033236,2022-03-01 14:13:00.153,626005,2262.0,75.4,1,grande,4.0,570.938,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.4,10.0,0.0,0.0,0.0,15.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,10.0,30,15,0.0
